#ID = Affymetrix Probe Set ID
#ORF = Entrez Gene Link
#SPOT_ID = identifies controls
#Species Scientific Name = The genus and species of the organism represented by the probe set.
#Annotation Date = The date that the annotations for this probe array were last updated. It will generally be earlier than the date when the annotations were posted on the Affymetrix web site.
#Sequence Type = 
#Sequence Source = The database from which the sequence used to design this probe set was taken.
#Target Description = GenBank description associated with the representative public identifier. Blank for some probe sets.
#Representative Public ID = The accession number of a representative sequence. Note that for consensus-based probe sets, the representative sequence is only one of several sequences (sequence sub-clusters) used to build the consensus sequence and it is not directly used to derive the probe sequences. The representative sequence is chosen during array design as a sequence that is best associated with the transcribed region being interrogated by the probe set. Refer to the Sequence Source field to determine the database used.
#Gene Title = Title of Gene represented by the probe set.
#Gene Symbol = A gene symbol, when one is available (from UniGene).
#ENTREZ_GENE_ID = Entrez Gene Database UID
#RefSeq Transcript ID = 
#SGD accession number = SGD accession number
#Gene Ontology Biological Process = Gene Ontology Consortium Biological Process derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Cellular Component = Gene Ontology Consortium Cellular Component derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Molecular Function = Gene Ontology Consortium Molecular Function derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
ID	ORF	SPOT_ID	Species Scientific Name	Annotation Date	Sequence Type	Sequence Source	Target Description	Representative Public ID	Gene Title	Gene Symbol	ENTREZ_GENE_ID	RefSeq Transcript ID	SGD accession number	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
5444_at		non-annotated SAGE orf Found forward in NC_001137 between 422560 and 422781 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 422560 and 422781 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5445_i_at		non-annotated SAGE orf Found reverse in NC_001137 between 441063 and 441299 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 441063 and 441299 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5446_r_at		non-annotated SAGE orf Found reverse in NC_001137 between 441063 and 441299 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 441063 and 441299 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5447_at		non-annotated SAGE orf Found forward in NC_001137 between 546517 and 546675 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 546517 and 546675 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5448_at	SNR67		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	SNR67 snRNA	SNR67								
5449_at		non-annotated SAGE orf Found reverse in NC_001137 between 225472 and 225738 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 225472 and 225738 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5450_g_at		non-annotated SAGE orf Found reverse in NC_001137 between 225472 and 225738 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 225472 and 225738 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5451_at		non-annotated SAGE orf Found forward in NC_001137 between 249314 and 249451 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 249314 and 249451 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5452_at		non-annotated SAGE orf Found forward in NC_001137 between 284319 and 284474 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 284319 and 284474 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5453_at		non-annotated SAGE orf Found forward in NC_001137 between 284585 and 284719 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 284585 and 284719 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5454_at		non-annotated SAGE orf Found forward in NC_001137 between 289637 and 289906 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 289637 and 289906 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5455_at		non-annotated SAGE orf Found reverse in NC_001137 between 311731 and 311907 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 311731 and 311907 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5456_at		non-annotated SAGE orf Found reverse in NC_001137 between 312162 and 312425 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 312162 and 312425 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5457_at		non-annotated SAGE orf Found forward in NC_001137 between 382263 and 382427 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 382263 and 382427 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5458_at		non-annotated SAGE orf Found forward in NC_001137 between 434581 and 434727 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 434581 and 434727 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5459_at		non-annotated SAGE orf Found forward in NC_001137 between 434925 and 435077 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 434925 and 435077 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5460_at		non-annotated SAGE orf Found reverse in NC_001137 between 467935 and 468081 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 467935 and 468081 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5461_at		non-annotated SAGE orf Found reverse in NC_001137 between 504589 and 504738 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 504589 and 504738 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5462_at		non-annotated SAGE orf Found forward in NC_001137 between 564706 and 564843 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 564706 and 564843 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5463_r_at		non-annotated SAGE orf Found reverse in NC_001137 between 52351 and 52515 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 52351 and 52515 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5464_i_at		non-annotated SAGE orf Found reverse in NC_001137 between 52351 and 52515 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 52351 and 52515 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5465_f_at		non-annotated SAGE orf Found reverse in NC_001137 between 52351 and 52515 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 52351 and 52515 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5466_i_at		non-annotated SAGE orf Found reverse in NC_001137 between 52391 and 52549 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 52391 and 52549 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5467_f_at		non-annotated SAGE orf Found reverse in NC_001137 between 52391 and 52549 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 52391 and 52549 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5468_at		non-annotated SAGE orf Found forward in NC_001137 between 77473 and 77622 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 77473 and 77622 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5469_at		non-annotated SAGE orf Found forward in NC_001137 between 84901 and 85035 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 84901 and 85035 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5470_at		non-annotated SAGE orf Found forward in NC_001137 between 89863 and 90009 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 89863 and 90009 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5471_at		non-annotated SAGE orf Found forward in NC_001137 between 122467 and 122670 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 122467 and 122670 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5472_at		non-annotated SAGE orf Found reverse in NC_001137 between 212096 and 212341 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 212096 and 212341 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5473_at		non-annotated SAGE orf Found reverse in NC_001137 between 308191 and 308394 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 308191 and 308394 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5474_at		non-annotated SAGE orf Found reverse in NC_001137 between 314164 and 314310 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 314164 and 314310 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5475_at		non-annotated SAGE orf Found forward in NC_001137 between 401911 and 402066 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 401911 and 402066 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5476_at		non-annotated SAGE orf Found reverse in NC_001137 between 407032 and 407214 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 407032 and 407214 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5477_at		non-annotated SAGE orf Found reverse in NC_001137 between 499172 and 499306 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 499172 and 499306 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5478_i_at		non-annotated SAGE orf Found reverse in NC_001137 between 561482 and 561634 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 561482 and 561634 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5479_r_at		non-annotated SAGE orf Found reverse in NC_001137 between 561482 and 561634 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 561482 and 561634 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5480_f_at		non-annotated SAGE orf Found reverse in NC_001137 between 561482 and 561634 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 561482 and 561634 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5481_at		non-annotated SAGE orf Found reverse in NC_001137 between 84843 and 84983 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 84843 and 84983 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5482_at		non-annotated SAGE orf Found reverse in NC_001137 between 118455 and 118607 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 118455 and 118607 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5483_at		non-annotated SAGE orf Found forward in NC_001137 between 251078 and 251278 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 251078 and 251278 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5484_at		non-annotated SAGE orf Found forward in NC_001137 between 303311 and 303496 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 303311 and 303496 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5485_at		non-annotated SAGE orf Found reverse in NC_001137 between 545280 and 545498 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 545280 and 545498 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5486_at		non-annotated SAGE orf Found reverse in NC_001137 between 15653 and 15832 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 15653 and 15832 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5487_at		non-annotated SAGE orf Found reverse in NC_001137 between 46025 and 46180 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 46025 and 46180 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5488_at		non-annotated SAGE orf Found reverse in NC_001137 between 117014 and 117220 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 117014 and 117220 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5489_at		non-annotated SAGE orf Found reverse in NC_001137 between 117183 and 117380 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 117183 and 117380 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5490_at		non-annotated SAGE orf Found reverse in NC_001137 between 135405 and 135575 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 135405 and 135575 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5491_at		non-annotated SAGE orf Found reverse in NC_001137 between 137782 and 137961 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 137782 and 137961 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5492_at		non-annotated SAGE orf Found reverse in NC_001137 between 144048 and 144257 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 144048 and 144257 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5493_at		non-annotated SAGE orf Found forward in NC_001137 between 167407 and 167559 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 167407 and 167559 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5494_at		non-annotated SAGE orf Found reverse in NC_001137 between 177402 and 177560 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 177402 and 177560 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5495_at		non-annotated SAGE orf Found forward in NC_001137 between 194842 and 194988 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 194842 and 194988 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5496_g_at		non-annotated SAGE orf Found forward in NC_001137 between 194842 and 194988 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 194842 and 194988 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5497_at	YER014c-a		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YER014c-a questionable ORF	YER014c-a	Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern	BUD25	856735	NM_001184456	S000007590	0000282 // cellular bud site selection // inferred from mutant phenotype /// 0006974 // cellular response to DNA damage stimulus // inferred from electronic annotation		
5498_at	YER038w-a		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YER038w-a questionable ORF	YER038w-a								
5499_at	YER046w-a		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YER046w-a questionable ORF	YER046w-a								
5500_at	YER067c-a		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YER067c-a questionable ORF	YER067c-a								
5501_at	YER068c-a		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YER068c-a questionable ORF	YER068c-a								
5502_at	YER145c-a		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YER145c-a questionable ORF	YER145c-a								
5503_at	YER148w-a		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YER148w-a questionable ORF	YER148w-a								
5504_at	YER165c-a		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YER165c-a questionable ORF	YER165c-a								
5505_at	YER172c-a		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YER172c-a hypothetical protein	YER172c-a								
5506_s_at	YEL012W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YEL012W ubiquitin-conjugating enzyme\; ubiquitin-protein ligase	YEL012W	Ubiquitin-conjugating enzyme that regulates gluconeogenesis; negatively regulates gluconeogenesis by mediating the glucose-induced ubiquitination of fructose-1,6-bisphosphatase (FBPase); cytoplasmic enzyme that catalyzes the ubiquitination of histones in vitro	UBC8	856704	NM_001178827	S000000738	0000209 // protein polyubiquitination // traceable author statement /// 0006513 // protein monoubiquitination // traceable author statement /// 0016567 // protein ubiquitination // inferred from electronic annotation /// 0042787 // protein ubiquitination involved in ubiquitin-dependent protein catabolic process // inferred from mutant phenotype /// 0043161 // proteasome-mediated ubiquitin-dependent protein catabolic process // inferred from mutant phenotype /// 0045721 // negative regulation of gluconeogenesis // inferred from mutant phenotype	0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0004842 // ubiquitin-protein transferase activity // inferred from direct assay /// 0004842 // ubiquitin-protein transferase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0016881 // acid-amino acid ligase activity // inferred from electronic annotation
5507_at		non-annotated SAGE orf Found forward in NC_001137 between 67199 and 67363 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 67199 and 67363 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5508_at		non-annotated SAGE orf Found reverse in NC_001137 between 159380 and 159517 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 159380 and 159517 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5509_at		non-annotated SAGE orf Found reverse in NC_001137 between 187315 and 187524 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 187315 and 187524 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5510_at		non-annotated SAGE orf Found reverse in NC_001137 between 251194 and 251418 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 251194 and 251418 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5511_at		non-annotated SAGE orf Found reverse in NC_001137 between 288425 and 288625 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 288425 and 288625 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5512_at		non-annotated SAGE orf Found reverse in NC_001137 between 550562 and 550699 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 550562 and 550699 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5513_at		non-annotated SAGE orf Found reverse in NC_001137 between 90086 and 90226 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 90086 and 90226 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5514_at		non-annotated SAGE orf Found reverse in NC_001137 between 31419 and 31562 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 31419 and 31562 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5515_at		non-annotated SAGE orf Found reverse in NC_001137 between 64206 and 64373 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 64206 and 64373 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5516_at		non-annotated SAGE orf Found reverse in NC_001137 between 67364 and 67504 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 67364 and 67504 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5517_at		non-annotated SAGE orf Found reverse in NC_001137 between 122338 and 122532 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 122338 and 122532 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5518_at		non-annotated SAGE orf Found forward in NC_001137 between 251443 and 251697 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found forward in NC_001137 between 251443 and 251697 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
5519_at		non-annotated SAGE orf Found reverse in NC_001137 between 258517 and 258651 with 100% identity	Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	GenBank	non-annotated SAGE orf Found reverse in NC_001137 between 258517 and 258651 with 100% identity.  See citation Velculescu, V.E., et al. (1997) Characterization of the yeast transcriptome. Cell 8:243-251	NC_001137								
